ds,yhat,yhat_lower,yhat_upper,y,is_actual
1/1/2023,41560.111,26225.56149,55552.41529,35450,TRUE
2/1/2023,40460.6635,25601.17324,55691.60406,44060,TRUE
3/1/2023,39467.61414,24946.07421,54928.81246,28990,TRUE
4/1/2023,38368.16664,23873.15868,51702.61188,33870,TRUE
5/1/2023,37304.18519,23092.41316,52029.88378,53150,TRUE
6/1/2023,36204.73768,22609.96058,52005.95793,36715,TRUE
7/1/2023,35140.75623,20414.34319,49288.79462,35465,TRUE
8/1/2023,34041.30873,18730.22713,48871.71278,36960,TRUE
9/1/2023,32941.86123,18381.08171,47413.05838,23620,TRUE
10/1/2023,31877.87978,17007.63894,47089.71788,46580,TRUE
11/1/2023,30778.43228,16178.4461,45809.91507,34920,TRUE
12/1/2023,29714.45083,15185.47842,43921.66698,44690,TRUE
1/1/2024,28615.00333,13549.54912,43185.59816,1530,TRUE
1/31/2024,27551.02188,12289.78796,42118.09211,,FALSE
2/29/2024,26522.50647,12786.01849,41859.27756,,FALSE
3/31/2024,25423.05897,11401.50361,40304.29457,,FALSE
4/30/2024,24359.07752,9785.265194,39947.53373,,FALSE
5/31/2024,23259.63002,9585.4024,38266.04695,,FALSE
6/30/2024,22195.64857,7789.333878,36848.05039,,FALSE
